District,Similar District 1,Similar District 2,Similar District 3,Similar District 4,Similar District 5
Anderson County,Roane County,Clinton City,Hickman County,Elizabethton City,Sullivan County
Clinton City,Anderson County,Roane County,Grainger County,Morgan County,Sullivan County
Oak Ridge City,Alcoa City,Greeneville City,Etowah City,Tullahoma City,Athens City
Bedford County,Hamblen County,Cleveland City,Lebanon SSD,Lenoir City,Warren County
Benton County,Wayne County,Bradford SSD,Sullivan County,Anderson County,Elizabethton City
Bledsoe County,Jackson County,Carter County,Hickman County,Macon County,Clay County
Blount County,Jefferson County,Monroe County,Union County,Bradley County,Washington County
Alcoa City,Oak Ridge City,Sevier County,Tullahoma City,Blount County,Bartlett City
Maryville City,Blount County,Moore County,Tullahoma City,Johnson City,Bristol City
Bradley County,McMinn County,Rhea County,Blount County,Dyer County,Polk County
Cleveland City,Warren County,Lebanon SSD,Hamblen County,Lenoir City,Dayton City
Campbell County,Morgan County,Scott County,Monroe County,Union County,Claiborne County
Cannon County,Smith County,Cumberland County,Trousdale County,White County,Clay County
Hollow Rock - Bruceton,Meigs County,Jackson County,Greene County,Hardin County,Grundy County
Huntingdon SSD,Milan SSD,Benton County,Weakley County,Tipton County,Paris SSD
McKenzie SSD,Weakley County,Obion County,Gibson County SSD,Dyer County,Trenton SSD
South Carroll SSD,Obion County,Bradford SSD,Weakley County,Henry County,Van Buren County
West Carroll SSD,Sequatchie County,Perry County,Houston County,Roane County,Lauderdale County
Carter County,Hickman County,Perry County,Hawkins County,Hardin County,Greene County
Elizabethton City,Bristol City,Hawkins County,Sullivan County,Newport City,Washington County
Cheatham County,Humphreys County,Dickson County,Stewart County,Washington County,Franklin County
Chester County,Arlington City,Germantown City,Bartlett City,Bradley County,McNairy County
Claiborne County,Union County,Morgan County,Campbell County,Monroe County,Scott County
Clay County,Fentress County,Cumberland County,Cannon County,Trousdale County,Smith County
Cocke County,Hawkins County,Sullivan County,Greene County,Clay County,Fentress County
Newport City,Elizabethton City,Rogersville City,Bristol City,Hawkins County,Washington County
Coffee County,Lawrence County,Franklin County,Lincoln County,Marshall County,Giles County
Manchester City,Franklin SSD,Greeneville City,Oak Ridge City,Tullahoma City,Murfreesboro City
Tullahoma City,Moore County,Bristol City,Franklin County,Elizabethton City,Coffee County
Crockett County,Alamo City,Trenton SSD,McKenzie SSD,Loudon County,Dyer County
Alamo City,Crockett County,Trenton SSD,Loudon County,Dayton City,DeKalb County
Bells City,Hamblen County,Cleveland City,Lebanon SSD,Lenoir City,Bedford County
Cumberland County,Cannon County,Smith County,Macon County,White County,Trousdale County
Davidson County,Shelby County,Hamilton County,Rutherford County,Knox County,Murfreesboro City
Decatur County,Hardin County,Meigs County,Greene County,Sullivan County,Trousdale County
DeKalb County,Loudon County,Macon County,Robertson County,Dayton City,Cumberland County
Dickson County,Cheatham County,Houston County,Humphreys County,Stewart County,Franklin County
Dyer County,Henry County,Weakley County,Oneida SSD,Bradley County,McKenzie SSD
Dyersburg City,Lake County,Milan SSD,Hardeman County,Trenton SSD,Fayette County
Fayette County,Haywood County,Jackson-Madison County,Hardeman County,Dyersburg City,Trenton SSD
